Meas_num,Date,Label,ID,Treatment,Area,acini_segment,type,hue,saturation,brightness
3,20190123,20190123-5-10X.jpg,5,Ambient,0,C,zoa,NA,NA,NA
4,20190123,20190123-5-10X.jpg,5,Ambient,237.819,C,cytes_zoa,109:197,142:255,58:255
1,20190123,20190123-5-10X.jpg,5,Ambient,471.07,D,total_area,NA,NA,NA
2,20190123,20190123-5-10X.jpg,5,Ambient,10.467,D,lumen,211:227,118:255,81:235
3,20190123,20190123-5-10X.jpg,5,Ambient,17.574,D,zoa,158:185,195:255,85:150
4,20190123,20190123-5-10X.jpg,5,Ambient,264.591,D,cytes_zoa,158:185,142:255,58:255
1,20190123,20190123-5-10X.jpg,5,Ambient,241.599,E,total_area,NA,NA,NA
2,20190123,20190123-5-10X.jpg,5,Ambient,0,E,lumen,NA,NA,NA
3,20190123,20190123-5-10X.jpg,5,Ambient,0,E,zoa,NA,NA,NA
4,20190123,20190123-5-10X.jpg,5,Ambient,132.777,E,cytes_zoa,109:197,142:255,58:255
1,20190123,20190123-013-10X.jpg,_013,Low,410.358,A,total_area,NA,NA,NA
2,20190123,20190123-013-10X.jpg,_013,Low,22.387,A,lumen,198:255,120:255,91:235
3,20190123,20190123-013-10X.jpg,_013,Low,44.125,A,zoa,158:185,195:255,85:222
4,20190123,20190123-013-10X.jpg,_013,Low,259.669,A,cytes_zoa,158:185,142:255,58:255
1,20190123,20190123-013-10X.jpg,_013,Low,520.355,B,total_area,NA,NA,NA
2,20190123,20190123-013-10X.jpg,_013,Low,38.547,B,lumen,198:255,120:255,91:235
3,20190123,20190123-013-10X.jpg,_013,Low,116.462,B,zoa,158:185,195:255,85:222
4,20190123,20190123-013-10X.jpg,_013,Low,317.259,B,cytes_zoa,158:185,142:255,58:255
1,20190123,20190123-013-10X.jpg,_013,Low,630.751,C,total_area,NA,NA,NA
2,20190123,20190123-013-10X.jpg,_013,Low,37.564,C,lumen,198:255,120:255,85:255
3,20190123,20190123-013-10X.jpg,_013,Low,68.615,C,zoa,158:185,195:255,85:215
4,20190123,20190123-013-10X.jpg,_013,Low,385.4,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-013-10X.jpg,_013,Low,336.549,D,total_area,NA,NA,NA
2,20190123,20190123-013-10X.jpg,_013,Low,25.146,D,lumen,198:255,120:255,85:255
3,20190123,20190123-013-10X.jpg,_013,Low,34.491,D,zoa,158:185,195:255,85:215
4,20190123,20190123-013-10X.jpg,_013,Low,219.486,D,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-016-10X.jpg,_016,Low,130.081,A,total_area,NA,NA,NA
2,20190123,20190123-016-10X.jpg,_016,Low,5.089,A,lumen,198:255,120:255,85:255
3,20190123,20190123-016-10X.jpg,_016,Low,10.893,A,zoa,158:185,195:255,85:215
4,20190123,20190123-016-10X.jpg,_016,Low,81.219,A,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-016-10X.jpg,_016,Low,239.216,B,total_area,NA,NA,NA
2,20190123,20190123-016-10X.jpg,_016,Low,0.859,B,lumen,198:255,120:255,85:255
3,20190123,20190123-016-10X.jpg,_016,Low,5.685,B,zoa,158:185,195:255,85:215
4,20190123,20190123-016-10X.jpg,_016,Low,143.813,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-016-10X.jpg,_016,Low,121.175,C,total_area,NA,NA,NA
2,20190123,20190123-016-10X.jpg,_016,Low,2.434,C,lumen,198:255,120:255,85:255
3,20190123,20190123-016-10X.jpg,_016,Low,11.585,C,zoa,158:185,195:255,85:215
4,20190123,20190123-016-10X.jpg,_016,Low,72.349,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-016-10X.jpg,_016,Low,117.388,D,total_area,NA,NA,NA
2,20190123,20190123-016-10X.jpg,_016,Low,0,D,lumen,NA,NA,NA
3,20190123,20190123-016-10X.jpg,_016,Low,0,D,zoa,NA,NA,NA
4,20190123,20190123-016-10X.jpg,_016,Low,56.052,D,cytes_zoa,109:185,142:255,85:255
1,20190123,20190123-018-10X.jpg,_018,Low,240.334,A,total_area,NA,NA,NA
2,20190123,20190123-018-10X.jpg,_018,Low,19.124,A,lumen,198:255,120:255,85:255
3,20190123,20190123-018-10X.jpg,_018,Low,29.838,A,zoa,158:185,195:255,85:215
4,20190123,20190123-018-10X.jpg,_018,Low,105.669,A,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-018-10X.jpg,_018,Low,424.068,B,total_area,NA,NA,NA
2,20190123,20190123-018-10X.jpg,_018,Low,33.361,B,lumen,198:255,120:255,85:255
3,20190123,20190123-018-10X.jpg,_018,Low,90.375,B,zoa,158:185,195:255,85:215
4,20190123,20190123-018-10X.jpg,_018,Low,214.261,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-018-10X.jpg,_018,Low,197.447,C,total_area,NA,NA,NA
2,20190123,20190123-018-10X.jpg,_018,Low,14.364,C,lumen,198:255,120:255,85:255
3,20190123,20190123-018-10X.jpg,_018,Low,35.005,C,zoa,158:185,195:255,85:215
4,20190123,20190123-018-10X.jpg,_018,Low,108.764,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-018-10X.jpg,_018,Low,282.958,D,total_area,NA,NA,NA
2,20190123,20190123-018-10X.jpg,_018,Low,28.854,D,lumen,198:255,120:255,85:255
3,20190123,20190123-018-10X.jpg,_018,Low,42.291,D,zoa,158:185,195:255,85:215
4,20190123,20190123-018-10X.jpg,_018,Low,117.876,D,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-037-10X.jpg,_037,Low,702.157,A,total_area,NA,NA,NA
2,20190123,20190123-037-10X.jpg,_037,Low,44.424,A,lumen,198:255,120:255,85:255
3,20190123,20190123-037-10X.jpg,_037,Low,103.757,A,zoa,159:185,195:255,85:215
4,20190123,20190123-037-10X.jpg,_037,Low,355.106,A,cytes_zoa,109:185,142:255,85:255
1,20190123,20190123-037-10X.jpg,_037,Low,267.33,B,total_area,NA,NA,NA
2,20190123,20190123-037-10X.jpg,_037,Low,16.353,B,lumen,198:255,120:255,85:255
3,20190123,20190123-037-10X.jpg,_037,Low,11.295,B,zoa,158:185,195:255,85:215
4,20190123,20190123-037-10X.jpg,_037,Low,113.867,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-037-10X.jpg,_037,Low,296.833,C,total_area,NA,NA,NA
2,20190123,20190123-037-10X.jpg,_037,Low,6.747,C,lumen,198:255,120:255,85:255
3,20190123,20190123-037-10X.jpg,_037,Low,17.494,C,zoa,158:185,195:255,85:215
4,20190123,20190123-037-10X.jpg,_037,Low,141.249,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-037-10X.jpg,_037,Low,378.778,D,total_area,NA,NA,NA
2,20190123,20190123-037-10X.jpg,_037,Low,17.966,D,lumen,198:255,120:255,85:255
3,20190123,20190123-037-10X.jpg,_037,Low,75.666,D,zoa,158:185,195:255,85:215
4,20190123,20190123-037-10X.jpg,_037,Low,245.123,D,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-040-10X.jpg,_040,Low,621.076,A,total_area,NA,NA,NA
2,20190123,20190123-040-10X.jpg,_040,Low,44.879,A,lumen,198:255,120:255,85:255
3,20190123,20190123-040-10X.jpg,_040,Low,71.978,A,zoa,158:185,195:255,85:215
4,20190123,20190123-040-10X.jpg,_040,Low,307.017,A,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-040-10X.jpg,_040,Low,163.466,B,total_area,NA,NA,NA
2,20190123,20190123-040-10X.jpg,_040,Low,0.955,B,lumen,198:255,120:255,85:255
3,20190123,20190123-040-10X.jpg,_040,Low,10.381,B,zoa,158:185,195:255,85:215
4,20190123,20190123-040-10X.jpg,_040,Low,90.837,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-040-10X.jpg,_040,Low,333.135,C,total_area,NA,NA,NA
2,20190123,20190123-040-10X.jpg,_040,Low,41.937,C,lumen,198:255,120:255,85:255
3,20190123,20190123-040-10X.jpg,_040,Low,64.197,C,zoa,158:185,195:255,85:215
4,20190123,20190123-040-10X.jpg,_040,Low,144.83,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-040-10X.jpg,_040,Low,149.88,D,total_area,NA,NA,NA
2,20190123,20190123-040-10X.jpg,_040,Low,6.57,D,lumen,198:255,120:255,85:255
3,20190123,20190123-040-10X.jpg,_040,Low,20.711,D,zoa,158:185,195:255,85:215
4,20190123,20190123-040-10X.jpg,_040,Low,90.947,D,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-041-10X.jpg,_041,Ambient,656.924,A,total_area,NA,NA,NA
2,20190123,20190123-041-10X.jpg,_041,Ambient,46.951,A,lumen,198:255,120:255,85:255
3,20190123,20190123-041-10X.jpg,_041,Ambient,106.641,A,zoa,158:185,195:255,85:215
4,20190123,20190123-041-10X.jpg,_041,Ambient,331.285,A,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-041-10X.jpg,_041,Ambient,458.855,B,total_area,NA,NA,NA
2,20190123,20190123-041-10X.jpg,_041,Ambient,42.722,B,lumen,198:255,120:255,85:255
3,20190123,20190123-041-10X.jpg,_041,Ambient,58.491,B,zoa,158:185,195:255,85:215
4,20190123,20190123-041-10X.jpg,_041,Ambient,225.044,B,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-041-10X.jpg,_041,Ambient,454.26,C,total_area,NA,NA,NA
2,20190123,20190123-041-10X.jpg,_041,Ambient,27.774,C,lumen,198:255,120:255,85:255
3,20190123,20190123-041-10X.jpg,_041,Ambient,31.022,C,zoa,158:185,195:255,85:215
4,20190123,20190123-041-10X.jpg,_041,Ambient,185.563,C,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-041-10X.jpg,_041,Ambient,330.668,D,total_area,NA,NA,NA
2,20190123,20190123-041-10X.jpg,_041,Ambient,20.338,D,lumen,198:255,120:255,85:255
3,20190123,20190123-041-10X.jpg,_041,Ambient,67.205,D,zoa,158:185,195:255,85:215
4,20190123,20190123-041-10X.jpg,_041,Ambient,188.933,D,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-044-10X.jpg,_044,Ambient,592.9,A,total_area,NA,NA,NA
2,20190123,20190123-044-10X.jpg,_044,Ambient,59.146,A,lumen,198:255,120:255,85:255
3,20190123,20190123-044-10X.jpg,_044,Ambient,18.697,A,zoa,158:185,195:255,85:215
4,20190123,20190123-044-10X.jpg,_044,Ambient,300.751,A,cytes_zoa,158:185,142:255,85:255
1,20190123,20190123-044-10X.jpg,_044,Ambient,891.128,B,total_area,NA,NA,NA
2,20190123,20190123-044-10X.jpg,_044,Ambient,111.895,B,lumen,198:255,120:255,85:255
