term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value
pH	low-ambient	0	-0.24222561621362	-0.310739359237995	-0.173711873189245	6.87994106129963e-12
date	93 + 8 day recovery-72	0	0.499844481850793	0.435025980766605	0.564662982934981	2.15882867138362e-12
pH:date	low:72-ambient:72	0	-0.501048524955464	-0.633082549245636	-0.369014500665291	2.19990692329475e-12
pH:date	ambient:93 + 8 day recovery-ambient:72	0	0.319078553975743	0.21470474470322	0.423452363248266	2.23154827949656e-12
pH:date	low:93 + 8 day recovery-ambient:72	0	0.364350736576803	0.234460684759993	0.494240788393612	6.07802697061288e-12
pH:date	ambient:93 + 8 day recovery-low:72	0	0.820127078931207	0.694874701434439	0.945379456427974	2.15882867138362e-12
pH:date	low:93 + 8 day recovery-low:72	0	0.865399261532267	0.718206559377883	1.01259196368665	2.15882867138362e-12
pH:date	low:93 + 8 day recovery-ambient:93 + 8 day recovery	0	0.0452721826010598	-0.0777180611555417	0.168262426357661	0.779990853610746
