date,animal,egg size
20190221,053,4
20190221,053,1.549
20190221,053,4.464
20190221,053,1.436
20190221,053,2.049
20190221,053,1.45
20190221,053,5.651
20190221,053,2.568
20190221,053,5.266
20190221,053,2.334
20190221,053,1.85
20190221,053,3.875
20190221,053,5.996
20190221,053,5.225
20190221,053,3.612
20190221,053,8.813
20190221,053,1.443
20190221,053,13.882
20190221,053,6.463
20190221,053,3.676
20190221,053,6.553
20190221,053,11.53
20190221,053,8.739
20190221,053,3.344
20190221,053,1.115
20190221,053,1.398
20190221,053,2.798
20190221,053,2.762
20190221,053,9.086
20190221,053,5.752
20190221,053,1.81
20190221,053,3.349
20190221,053,1.934
20190221,053,1.247
20190221,053,9.38
20190221,053,1.18
20190221,053,6.745
20190221,053,4.593
20190221,053,3.93
20190221,053,1.915
20190221,053,14.273
20190221,053,8.677
20190221,053,6.604
20190221,053,2.48
20190221,053,2.106
20190221,053,2.018
20190221,053,4.007
20190221,053,1.592
20190221,053,5.634
20190221,053,1.017
20190221,053,1.774
20190221,053,1.714
20190221,053,4.296
20190221,053,2.52
20190221,053,1.987
20190221,053,3.191
20190221,053,2.518
20190221,053,1.249
20190221,053,4.749
20190221,053,3.298
20190221,053,2.006
20190221,053,1.534
20190221,053,3.339
20190221,053,12.267
20190221,053,9.794
20190221,053,7.243
20190221,053,3.114
20190221,053,2.291
20190221,053,2.712
20190221,053,8.023
20190221,053,5.247
20190221,053,8.72
20190221,053,2.006
20190221,053,6.391
20190221,053,9.064
20190221,053,4.557
20190221,053,1.214
20190221,053,4.974
20190221,053,7.305
20190221,053,1.328
20190221,053,3.758
20190221,053,2.65
20190221,053,5.563
20190221,053,3.356
20190221,053,2.137
20190221,053,2.848
20190221,053,6.594
20190221,053,1.68
20190221,053,3.681
20190221,053,10.187
20190221,053,3.784
20190221,053,2.609
20190221,053,7.358
20190221,053,5.172
20190221,053,8.219
20190221,053,1.695
20190221,053,2.027
20190221,053,6.077
20190221,053,4.44
20190221,053,1.266
20190221,053,1.965
20190221,053,3.124
20190221,053,8.291
20190221,053,2.097
20190221,053,1.884
20190221,053,9.289
20190221,053,2.587
20190221,053,2.846
20190221,053,1.742
20190221,053,3.499
20190221,053,2.197
20190221,053,2.827
20190221,053,4.179
20190221,053,3.629
20190221,053,3.468
20190221,053,3.193
20190221,053,5.022
20190221,053,3.382
20190221,053,5.828
20190221,053,2.504
20190221,053,3.241
20190221,053,4.21
20190221,053,3.045
20190221,053,1.498
20190221,053,7.487
20190221,053,15.079
20190221,053,15.419
20190221,053,10.307
20190221,053,7.537
20190221,053,2.233
20190221,053,6.039
20190221,053,14.411
20190221,053,3.801
20190221,053,6.214
20190221,053,2.437
20190221,053,6.376
20190221,053,5.821
20190221,053,19.088
20190221,053,5.318
20190221,053,10.903
20190221,053,4.193
20190221,053,11.331
20190221,053,8.717
20190221,053,6.465
20190221,053,10.651
20190221,053,11.726
20190221,053,11.472
20190221,053,2.248
20190221,053,4.402
20190221,053,3.894
20190221,053,6.257
20190221,053,9.49
20190221,053,25.11
20190221,053,5.85
20190221,053,3.928
20190221,053,12.267
20190221,053,2.212
20190221,053,9.995
20190221,053,6.089
20190221,053,5.438
20190221,053,4.069
20190221,053,11.865
20190221,053,14.881
20190221,053,1.817
20190221,053,11.396
20190221,053,3.198
20190221,053,11.953
20190221,053,5.436
20190221,053,4.742
20190221,053,10.51
20190221,053,7.832
20190221,053,9.775
20190221,053,2.767
20190221,053,5.838
20190221,053,3.686
20190221,053,3.021
20190221,053,5.469
20190221,053,9.421
20190221,053,7.051
20190221,053,14.493
20190221,053,4.581
20190221,053,5.28
20190221,053,3.94
20190221,053,3.578
20190221,053,6.927
20190221,053,6.257
20190221,053,9.45
20190221,053,7.609
20190221,053,7.37
20190221,053,3.198
20190221,053,7.518
20190221,053,6.577
20190221,053,6.166
20190221,053,14.332
20190221,053,18.748
20190221,053,5.584
20190221,053,5.287
20190221,057,16.051
20190221,057,13.519
20190221,057,7.145
20190221,057,3.777
20190221,057,16.884
20190221,057,5.539
20190221,057,3.734
20190221,057,15.386
20190221,057,6.3
20190221,057,16.992
20190221,057,18.119
20190221,057,21.886
20190221,057,3.964
20190221,057,19.05
20190221,057,5.163
20190221,057,20.264
20190221,057,2.207
20190221,057,2.257
20190221,057,2.015
20190221,057,2.432
20190221,057,1.934
20190221,057,3.332
20190221,057,2.113
20190221,057,2.645
20190221,057,6.671
20190221,057,1.75
20190221,057,4.148
20190221,057,2.09
20190221,057,3.308
20190221,057,3.131
20190221,057,11.984
20190221,057,4.605
20190221,057,15.436
20190221,057,2.348
