 ,Label,Area,%Area
1,20190123-006-10X.jpg,1106.878,0
2,20190123-006-10X.jpg,891.605,0
3,20190123-006-10X.jpg,226.325,0
4,20190123-006-10X.jpg,486.089,0
5,20190123-006-10X.jpg,798.013,0
6,20190123-13-10X_crop.jpg,153.618,0
7,20190123-13-10X_crop.jpg,226.655,0
8,20190123-13-10X_crop.jpg,434.123,0
9,20190123-13-10X_crop.jpg,219.960,0
10,20190123-13-10X_crop.jpg,210.732,0
11,20190123-17-10X_crop.jpg,563.106,0
12,20190123-17-10X_crop.jpg,307.512,0
13,20190123-17-10X_crop.jpg,668.083,0
14,20190123-17-10X_crop.jpg,793.869,0
15,20190123-17-10X_crop.jpg,551.583,0
16,20190123-028-10X_crop.jpg,784.428,0
17,20190123-028-10X_crop.jpg,2389.787,0
18,20190123-028-10X_crop.jpg,656.923,0
19,20190123-028-10X_crop.jpg,988.879,0
20,20190123-028-10X_crop.jpg,380.120,0
21,20190123-034-10X_crop.jpg,176.945,0
22,20190123-034-10X_crop.jpg,191.107,0
23,20190123-034-10X_crop.jpg,132.012,0
24,20190123-034-10X_crop.jpg,441.980,0
25,20190123-034-10X_crop.jpg,164.220,0
26,20190123-045-10X_crop.jpg,400.387,0
27,20190123-045-10X_crop.jpg,2412.292,0
28,20190123-045-10X_crop.jpg,533.566,0
29,20190123-045-10X_crop.jpg,1890.380,0
30,20190123-045-10X_crop.jpg,1116.325,0
31,20190123-050-10X_crop.jpg,458.568,0
32,20190123-050-10X_crop.jpg,661.961,0
33,20190123-050-10X_crop.jpg,492.614,0
34,20190123-050-10X_crop.jpg,536.157,0
35,20190123-050-10X_crop.jpg,306.124,0
36,20190123-052-10X_crop.jpg,513.039,0
37,20190123-052-10X_crop.jpg,689.517,0
38,20190123-052-10X_crop.jpg,471.913,0
39,20190123-052-10X_crop.jpg,1450.102,0
40,20190123-052-10X_crop.jpg,432.780,0
41,20190221-6-10x.jpg,504.054,0
42,20190221-6-10x.jpg,416.531,0
43,20190221-6-10x.jpg,1659.369,0
44,20190221-6-10x.jpg,580.374,0
45,20190221-6-10x.jpg,739.744,0
46,20190221-7-10x.jpg,734.912,0
47,20190221-7-10x.jpg,772.612,0
48,20190221-7-10x.jpg,910.233,0
49,20190221-7-10x.jpg,799.967,0
50,20190221-7-10x.jpg,712.809,0
51,20190221-8-10x.jpg,781.356,0
52,20190221-8-10x.jpg,333.908,0
53,20190221-8-10x.jpg,609.508,0
54,20190221-8-10x.jpg,397.240,0
55,20190221-8-10x.jpg,463.952,0
56,20190221-009-10x.jpg,623.673,0
57,20190221-009-10x.jpg,1566.037,0
58,20190221-009-10x.jpg,1029.260,0
59,20190221-009-10x.jpg,497.503,0
60,20190221-009-10x.jpg,768.516,0
61,20190221-14-10x.jpg,740.457,0
62,20190221-14-10x.jpg,841.264,0
63,20190221-14-10x.jpg,843.528,0
64,20190221-14-10x.jpg,730.337,0
65,20190221-14-10x.jpg,937.099,0
66,20190221-015-10x.jpg,1066.676,0
67,20190221-015-10x.jpg,782.475,0
68,20190221-015-10x.jpg,753.445,0
69,20190221-015-10x.jpg,405.461,0
70,20190221-015-10x.jpg,582.650,0
71,20190221-025-10x.jpg,559.100,0
72,20190221-025-10x.jpg,1009.332,0
73,20190221-025-10x.jpg,466.686,0
74,20190221-025-10x.jpg,393.339,0
75,20190221-025-10x.jpg,992.307,0
76,20190221-053-10x.jpg,210.231,0
77,20190221-053-10x.jpg,252.111,0
78,20190221-053-10x.jpg,236.188,0
79,20190221-053-10x.jpg,288.388,0
80,20190221-053-10x.jpg,200.335,0
81,20190221-057-10x.jpg,608.600,0
82,20190221-057-10x.jpg,355.184,0
83,20190221-057-10x.jpg,457.704,0
84,20190221-057-10x.jpg,520.112,0
85,20190221-057-10x.jpg,313.887,0
86,20190221-059-10x.jpg,717.931,0
87,20190221-059-10x.jpg,4300.537,0
88,20190221-059-10x.jpg,2673.585,0
89,20190221-059-10x.jpg,862.867,0
90,20190221-059-10x.jpg,684.702,0
91,20190221-060-10x.jpg,601.492,0
92,20190221-060-10x.jpg,564.516,0
93,20190221-060-10x.jpg,499.652,0
94,20190221-060-10x.jpg,527.985,0
95,20190221-060-10x.jpg,711.177,0
