sample,mass,salinity,Sample.ID,Type,Notes
20181030_JUNK,59.7,29,JUNK,Junk,
20181030_CRM1,59.436,33.442,CRM1,CRM,
20181030_CRM2,60.2884,33.442,CRM2,CRM,
