sample,mass,salinity,Sample.ID,Type,Notes
20181030_JUNK,60.242,29,JUNK,JUNK,
20181030_1A,59.9062,24,TANK1A,TANK1A,salinity from logger probe
20181030_1B,59.4857,24,TANK1B,TANK1B,salinity from logger probe
20181030_2A,59.647,24,TANK2A,TANK2A,salinity from logger probe
20181030_2B,57.442,24,TANK2B,TANK2B,salinity from logger probe
20181030_4A,60.4668,24,TANK4A,TANK4A,salinity from logger probe
20181030_4B,59.448,24,TANK4B,TANK4B,salinity from logger probe
