mVTris,TTris
-54.3,6.001
-53.4,6.411
-50.1,7.082
-47,7.609
-47.2,7.963
-47.1,8.048
-45.8,8.55
-45.3,8.817
-44.9,9.082
-44.7,9.28
-44.4,9.53
-44.1,9.8
-43.9,10.008
-43.7,10.244
-43.3,10.485
-43.1,10.757
-42.7,11.238
-42.4,11.544
-42.2,11.747
-41.8,12.196
