mVTris,TTris
-89.8,7.207
-89.5,7.595
-89.2,7.873
-88.9,8.13
-88.6,8.388
-88.3,8.731
-87.9,9.153
-87.5,9.466
-87.2,9.783
-86.8,10.141
-86.4,10.519
-85.9,10.979
-85.4,11.455
-84.9,12.021
