mVTris,TTris
-80.9,9.545
-80.1,10.15
-79.8,10.72
-79.4,11.779
-79.3,12.293
-79.1,12.699
-78.8,13.357
-78.5,13.866
-78.3,14.486
-78,14.986
-77.8,15.42
-77.5,15.879
