mVTris,TTris
-88.4,7.84
-87.9,8.62
-86.8,9.662
-86.7,9.984
-86.4,10.355
-86,10.78
-85.7,11.085
-85.4,11.499
-84.8,12.062
-84.5,12.416
-84.1,12.772
-83.8,13.057
-83.1,13.833
-82.4,14.399
-82,14.779
-81.8,15.06
