mVTris,TTris
-93.7,5.221
-93,6.04
-92.6,6.492
-92.1,6.818
-91.5,7.317
-91.4,7.565
-91.2,7.87
-90.3,8.43
-89.7,8.993
-88.9,9.589
-88.8,9.7
-88.5,10.002
-88.1,10.317
-87.9,10.546
-87.6,10.756
-87.1,11.173
-86.9,11.433
-86.5,11.724
-86.3,11.929
