mVTris,TTris
-92.8,5.498
-92.5,5.874
-92.2,6.2
-91.9,6.589
-91.4,7.101
-91.1,7.432
-90.6,7.876
-90.5,8.155
-90.1,8.422
-89.9,8.68
-89.7,8.881
-89.6,9.159
-89.4,9.427
-89,9.64
-88.6,9.944
-88.3,10.239
-88.1,10.482
-87.9,10.7
-87.5,10.999
-87.2,11.27
-86.9,11.593
-86.6,11.981
-86.1,12.327
