mVTris,TTris
-89.2,8.6
-89.3,8.89
-89,9.08
-88.8,9.27
-88.2,9.82
-87.5,10.14
-87,10.56
-86.3,11.04
-85.6,11.57
-85.2,12
-84.7,12.41
-83.6,13.38
-82.5,14.26
-81.9,14.72
