"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
NA,"20180214_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.651191,NA
NA,"20180214_TANK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009.180634,NA
NA,"20181030_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2108.636517,NA
NA,"20181030_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2108.664707,NA
NA,"20181030_TANK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.014557,NA
NA,"20181030_TANK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2105.609519,NA
NA,"20181030_TANK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2109.77203,NA
NA,"20181030_TANK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2109.868655,NA
NA,"20181102_TANK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2099.129784,NA
NA,"20181102_TANK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.230153,NA
20181107,"20181107_TANK1","low",29.76,10.48,7.10998331581294,162.806148727387,3671.77433166812,2052.42986005721,14.5142365506494,2229.75024533525,2088.554917,0.224090602192787
20181107,"20181107_TANK1","low",29.76,10.48,7.10998331581294,162.736537165766,3670.20435519791,2051.55229585713,14.5080306506885,2228.79686367359,2087.664941,0.223994787035404
20181107,"20181107_TANK2","low",29.81,10.5,7.05449760621152,184.984018838092,4175.90204909742,2054.47859509846,12.8126475093173,2252.27526144587,2086.356025,0.19780616558811
20181107,"20181107_TANK2","low",29.81,10.5,7.05449760621152,185.045514326171,4177.29029640299,2055.16157930838,12.8169069043565,2253.02400053891,2087.047528,0.197871923629126
20181107,"20181107_TANK3","amb",29.86,10.48,7.75854555447417,34.5723145975509,780.149292689305,1942.48151219097,61.3136356430659,2038.36746243158,2095.276991,0.946430639274908
20181107,"20181107_TANK3","amb",29.86,10.48,7.75854555447417,34.6438755859281,781.764123401154,1946.5022408733,61.4405483018999,2042.58666476113,2099.551545,0.948389649331523
20181107,"20181107_TANK4","amb",29.87,10.48,7.75854555447417,34.5944920317369,780.694554439284,1943.93677980384,61.3752670017037,2039.90653883729,2096.869369,0.947360440511614
20181107,"20181107_TANK4","amb",29.87,10.48,7.75854555447417,34.7510083035861,784.226671582085,1952.73175610256,61.6529478523443,2049.13571225849,2106.219707,0.951646594622801
20181112,"20181112_TANK1","low",30.03,9.45,7.08580906429338,177.69686352693,3879.12474564051,2069.54787787347,13.3853715167688,2260.63011291717,2102.901619,0.206070760772904
20181112,"20181112_TANK1","low",30.03,9.45,7.08580906429338,177.854614099289,3882.56849833198,2071.38512111896,13.3972543940245,2262.63698961228,2104.762628,0.206253700301566
20181112,"20181112_TANK1","low",30.08,9.88,6.8971991002521,272.652417082303,6039.66074791425,2080.8855901278,8.87773233765465,2362.41573954776,2102.901619,0.136783697555174
20181112,"20181112_TANK1","low",30.08,9.88,6.8971991002521,272.894196685776,6045.01666362323,2082.73085413917,8.88560483197289,2364.51065565692,2104.762628,0.136904993043805
20181112,"20181112_TANK2","low",30.09,9.46,7.07498814496551,182.228753840296,3980.76558676011,2071.96303495181,13.0963760933693,2267.28816488548,2104.59442,0.201598942859665
20181112,"20181112_TANK2","low",30.09,9.46,7.07498814496551,182.446070160175,3985.51291492821,2074.43394786863,13.1119941349592,2269.99201216377,2107.096569,0.201839359036752
20181112,"20181112_TANK2","low",30.01,9.88,6.77433427170299,363.326698045592,8045.05589202904,2088.07959709361,6.7013347450226,2458.10762988423,2104.59442,0.103267242227892
20181112,"20181112_TANK2","low",30.01,9.88,6.77433427170299,363.759296287625,8054.63513020254,2090.56578808312,6.7093137502693,2461.03439812101,2107.096569,0.103390198310359
20181112,"20181112_TANK3","amb",30.13,9.46,7.71697470362915,39.4245199213015,861.411566057525,1966.53996257326,54.5632967571545,2060.52777925171,2102.812627,0.839844306711553
20181112,"20181112_TANK3","amb",30.13,9.46,7.71697470362915,39.4170924857045,861.249278679564,1966.16947362501,54.55301723128,2060.13958334199,2102.421579,0.839686083110808
20181112,"20181112_TANK3","amb",30.09,9.88,7.6610978168835,44.6846394953341,989.868138667132,1980.35048918015,49.0687743328922,2074.10390300838,2102.812627,0.756010062225763
