sample,mass,salinity,Sample.ID,Type,Notes
20181102_JUNK,59.774,29,JUNK,Junk,
20181102_CRM1,59.979,33.442,CRM1,CRM,
20181102_CRM2,59.6699,33.442,CRM2,CRM,
